Country Name,Country Code,MeanCholeraCases,MeanGDP,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020
Cote d'Ivoire,CIV,34.7,43972866580.03144,0.0,0.0,325.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,34936307964.3213,36693710822.2216,36302302844.0196,42760235496.3898,48843005625.0307,45815005170.6127,48407761031.6758,52512344033.9625,58522477744.7313,59898479821.1946,62982768371.5174
Cameroon,CMR,2975.1,31745818361.52121,7801.0,18461.0,0.0,0.0,2052.0,7.0,0.0,0.0,966.0,464.0,27507501809.2414,30630910513.0616,30155062302.8443,33728621190.2114,36386544716.0794,32210233021.5735,33814337040.7804,36098547058.7877,39973842058.565,39670976440.3158,40773241211.6941
"Congo, Dem. Rep.",COD,12995.6,33869439924.953915,11925.0,16737.0,17693.0,13625.0,5088.0,1355.0,8518.0,33319.0,7721.0,13975.0,21565721036.3591,25839749198.8233,29306235295.3371,32679745036.2659,35909040943.885,37917706485.5896,37134801548.836,38019264804.5125,47568210020.9338,51775829868.7669,48716961864.5378
"Congo, Rep.",COG,72.2,12706355937.589476,0.0,0.0,283.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,13148396205.671,15655383585.9887,17692911280.5627,17958720704.4596,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873
Ghana,GHA,1184.2,50172568919.879005,1035.0,3715.0,6914.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,32197648061.1663,39336668080.559,41271708599.715,62824629066.0408,54783320576.8882,49406014245.4296,56164933479.4044,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503
Guinea,GIN,597.2,8802024363.689558,0.0,0.0,5951.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6853467832.6761,6785137215.23269,7638045225.63676,8376613880.25749,8778473643.01989,8794202394.72245,8595955600.7877,10324668270.876,11857030366.4598,13442861496.5747,14177835840.8311
Guinea-Bissau,GNB,65.0,1082784140.240493,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849878489.113364,1099818591.95727,989271155.126905,1046087367.44973,1054915581.36774,1048229632.99726,1179004911.26075,1350177012.24771,1504630233.68639,1439638410.99593,1431758231.68287
Kenya,KEN,432.1,66570004491.01916,0.0,0.0,405.0,0.0,0.0,1264.0,2059.0,535.0,0.0,58.0,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978,82036511258.8324,92202979940.671,100378435824.178,100657505600.655
Mali,MLI,19.3,13170581742.375322,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10689168011.4449,12995112698.0102,12442035328.035,13242690790.0557,14364937127.7002,13104764378.7114,14026048334.2131,15365713059.1057,17070867577.6666,17280250805.2245,17465392779.0366
Mozambique,MOZ,135.3,13502230747.87545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.0,0.0,0.0,11104649065.1649,14381552466.6044,16350813486.9908,16974314296.2182,17716091057.2675,15950979333.1582,11936993086.9579,13219079497.7055,14845400592.6712,15390031039.9957,14156864916.4711
Malawi,MWI,206.6,8868134152.72029,0.0,0.0,315.0,0.0,0.0,30.0,844.0,756.0,121.0,0.0,10128323010.6049,11648142958.3651,8773203178.16512,8031571927.62055,8801326169.14547,9219474373.16418,7909868618.46366,8943543677.18899,9880675785.93057,11025371147.1876,12056108780.2073
Namibia,NAM,6.8,11102966066.35296,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,11431412421.1316,12523359440.5499,13042053856.9696,12043307277.1235,12435430396.1929,11335161230.1608,10722018975.0783,12895153160.466,13682019171.6627,12541928102.7657,10583748757.3345
Niger,NER,1065.8,9823001688.830332,755.0,766.0,4129.0,0.0,748.0,0.0,0.0,0.0,4260.0,0.0,7851192498.77154,8772950783.02414,9426912639.20382,10224897440.9239,10862943546.2851,9683867926.72766,10398861980.6524,11185101444.3729,12808661487.4035,12916454870.5458,13744174582.2532
Sierra Leone,SLE,4290.6,3607833954.1147194,0.0,0.0,42906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2578159479.90083,2932274241.9741,3789251962.27583,4920343203.30269,5015180836.19495,4252029353.82191,3862721204.61052,3719443317.52413,4085114542.06831,4076578653.54714,4062906363.55623
Somalia,SOM,248.0,5033777806.411221,0.0,0.0,0.0,325.0,0.0,0.0,2155.0,0.0,0.0,0.0,,,,4577000011.76017,5024999991.72061,5335000000.0,5534000000.0,5609000000.0,5856000006.22021,6485000000.0,6883000000.0
South Sudan,SSD,3465.3,12261048514.732357,0.0,0.0,0.0,0.0,7239.0,3303.0,10828.0,13283.0,0.0,0.0,14602072410.9506,14907308932.7534,11931472169.4915,18426469016.9492,13962212847.4576,11997800760.2242,,,,,
Chad,TCD,1676.1,10535013224.558851,3398.0,12157.0,0.0,0.0,0.0,0.0,0.0,1206.0,0.0,0.0,10668103549.3123,12172308858.2993,12367362746.1307,12953534870.304,13940767222.1053,10950392257.2764,10097778097.0969,10000394388.1158,11239167890.2816,11314951088.2451,10715396051.4388
Tanzania,TZA,437.5,44707919715.10195,1605.0,0.0,51.0,0.0,0.0,1079.0,1012.0,450.0,178.0,0.0,32014247547.5146,34657141720.6759,39650522645.9811,45680532613.7591,49964825081.1078,47378603783.6471,49774004999.2038,53275968094.8533,57003686049.4102,61026765850.3054,66068737757.2651
Uganda,UGA,135.8,28466293641.108414,714.0,0.0,0.0,59.0,172.0,90.0,49.0,0.0,274.0,0.0,26673441432.4579,27871725245.1688,27305915907.9939,28915786520.3935,32612397253.2395,32387183733.0207,29203988697.459,30744473839.7439,32927025621.3848,35348155092.292,37605430214.347
